budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year
30000000,"[16, 35, 10751]",en,21.946943,[3],['US'],1995-10-30,373554033.0,81.0,['en'],Toy Story,7.7,5415.0,1995
65000000,"[12, 14, 10751]",en,17.015539,"[559, 2550, 10201]",['US'],1995-12-15,262797249.0,104.0,"['en', 'fr']",Jumanji,6.9,2413.0,1995
16000000,"[35, 18, 10749]",en,3.859495,[306],['US'],1995-12-22,81452156.0,127.0,['en'],Waiting to Exhale,6.1,34.0,1995
60000000,"[28, 80, 18, 53]",en,17.924927,"[508, 675, 6194]",['US'],1995-12-15,187436818.0,170.0,"['en', 'es']",Heat,7.7,1886.0,1995
35000000,"[28, 12, 53]",en,5.23158,"[33, 21437, 23770]",['US'],1995-12-22,64350171.0,106.0,['en'],Sudden Death,5.5,174.0,1995
58000000,"[12, 28, 53]",en,14.686036,"[60, 7576]","['GB', 'US']",1995-11-16,352194034.0,130.0,"['en', 'ru', 'es']",GoldenEye,6.6,1194.0,1995
62000000,"[35, 18, 10749]",en,6.318445,"[5, 97]",['US'],1995-11-17,107879496.0,106.0,['en'],The American President,6.5,199.0,1995
44000000,"[36, 18]",en,5.092,"[915, 1504]",['US'],1995-12-22,13681765.0,192.0,['en'],Nixon,7.1,72.0,1995
98000000,"[28, 12]",en,7.284477,"[183, 415, 8411, 14723]","['FR', 'DE', 'IT', 'US']",1995-12-22,10017322.0,119.0,"['en', 'la']",Cutthroat Island,5.7,137.0,1995
52000000,"[18, 80]",en,10.137389,"[33, 10898, 11583, 11584]","['FR', 'US']",1995-11-22,116112375.0,178.0,['en'],Casino,7.8,1343.0,1995
16500000,"[18, 10749]",en,10.673167,"[441, 932]","['GB', 'US']",1995-12-13,135000000.0,136.0,['en'],Sense and Sensibility,7.2,364.0,1995
4000000,"[80, 35]",en,9.026586,"[14, 59]",['US'],1995-12-09,4300000.0,98.0,['en'],Four Rooms,6.5,539.0,1995
30000000,"[80, 35, 12]",en,8.205448,"[5682, 6194, 10210]",['US'],1995-11-10,212385533.0,90.0,['en'],Ace Ventura: When Nature Calls,6.1,1128.0,1995
60000000,"[28, 35, 80]",en,7.337906,[5],['US'],1995-11-21,35431113.0,103.0,['en'],Money Train,5.4,224.0,1995
30250000,"[35, 53, 80]",en,12.669608,"[216, 8411]",['US'],1995-10-20,115101622.0,105.0,['en'],Get Shorty,6.4,305.0,1995
50000000,"[28, 12, 80, 53]",en,11.065939,"[1885, 5358, 6194, 10308, 23397, 25061]","['FR', 'US']",1995-10-06,30303072.0,132.0,"['en', 'es', 'nl']",Assassins,6.0,394.0,1995
3600000,"[18, 10749]",en,10.332025,"[60, 15547]",['US'],1995-10-27,49800000.0,112.0,['en'],Leaving Las Vegas,7.1,365.0,1995
12000000,"[35, 18, 10751]",en,8.681325,[12],['US'],1995-10-20,27400000.0,100.0,['en'],Now and Then,6.6,91.0,1995
18000000,"[14, 878, 12]",fr,9.822423,[],"['FR', 'DE', 'ES']",1995-05-16,1738611.0,108.0,"['cn', 'fr']",The City of Lost Children,7.6,308.0,1995
29500000,"[878, 53, 9648]",en,12.297305,"[33, 507, 17031]",['US'],1995-12-29,168840000.0,129.0,"['en', 'fr']",Twelve Monkeys,7.4,2470.0,1995
30000000,"[14, 18, 35, 10751]",en,14.404764,"[33, 2537]","['AU', 'US']",1995-07-18,254134910.0,89.0,['en'],Babe,6.0,756.0,1995
11000000,[18],en,6.891317,"[406, 1382, 10163]","['US', 'GB']",1995-12-29,39363635.0,122.0,['en'],Dead Man Walking,7.3,350.0,1995
18000000,"[28, 14]",en,10.870138,"[12, 4174]",['US'],1995-08-18,122195920.0,101.0,['en'],Mortal Kombat,5.4,452.0,1995
20000000,"[14, 18, 35, 53]",en,10.448481,"[364, 441]",['US'],1995-05-20,21284514.0,106.0,['en'],To Die For,6.7,177.0,1995
10000000,"[18, 10749]",en,4.485958,"[33, 56]",['US'],1995-10-06,23574130.0,116.0,['en'],How To Make An American Quilt,6.5,38.0,1995
33000000,"[80, 9648, 53]",en,18.45743,"[12, 4286, 65394]",['US'],1995-09-22,327311859.0,127.0,['en'],Se7en,8.1,5915.0,1995
55000000,"[12, 16, 18, 10751]",en,13.280069,"[2, 10217]",['US'],1995-06-14,346079773.0,81.0,['en'],Pocahontas,6.7,1509.0,1995
6000000,"[18, 80, 53]",en,16.302466,"[361, 9168]",['US'],1995-07-19,23341568.0,106.0,"['es', 'en', 'fr', 'hu']",The Usual Suspects,8.1,3334.0,1995
15000000,"[35, 10749]",en,15.899134,"[14, 1030]",['US'],1995-09-13,6700000.0,95.0,['en'],Mighty Aphrodite,6.7,145.0,1995
3500000,[35],en,14.56965,[12],['US'],1995-04-26,28215918.0,91.0,['en'],Friday,7.0,513.0,1995
19000000,"[27, 28, 53, 80]",en,15.339153,"[59, 7405, 11705, 53009]",['US'],1996-01-19,25836616.0,108.0,"['en', 'es']",From Dusk Till Dawn,6.9,1644.0,1996
50000000,"[28, 53, 10749]",en,5.912223,"[1885, 6194]",['US'],1995-11-03,11534477.0,91.0,"['en', 'es']",Fair Game,4.1,54.0,1995
15000000,"[35, 10751]",en,2.936443,"[6194, 10210]",['US'],1996-01-26,2042530.0,90.0,['en'],Big Bully,3.9,16.0,1996
20000000,"[27, 878]",en,12.758848,"[3388, 4899, 7958, 23096, 23097, 23098]","['CA', 'JP', 'US']",1995-09-08,5781885.0,108.0,['en'],Screamers,6.1,154.0,1995
8000000,"[18, 80]",en,4.486179,[14],['US'],1995-12-01,529766.0,116.0,['en'],Things to Do in Denver When You're Dead,6.7,87.0,1995
38000000,"[28, 18]",en,9.568604,"[915, 1644, 1645]",['US'],1996-02-02,10300000.0,129.0,"['da', 'en', 'fr', 'de']",White Squall,6.3,86.0,1996
8169363,"[80, 18, 53]",en,6.848591,[4],['US'],1995-11-22,8175346.0,90.0,['en'],Nick of Time,6.1,190.0,1995
47000000,"[18, 27, 53, 10749]",en,12.866139,"[559, 18737]",['US'],1996-02-23,12379402.0,104.0,['en'],Mary Reilly,5.7,77.0,1996
14000000,"[35, 27, 10749]",en,9.071127,[4],['US'],1995-10-26,19800000.0,100.0,['en'],Vampire in Brooklyn,4.5,113.0,1995
50000000,"[28, 12, 18, 53]",en,14.957626,"[306, 456, 11362]",['US'],1996-02-09,150270147.0,108.0,['en'],Broken Arrow,5.7,459.0,1996
7000000,"[35, 80, 18]",en,6.904831,"[18, 441]",['US'],1996-02-21,560069.0,91.0,"['es', 'en']",Bottle Rocket,6.8,285.0,1996
12000000,[35],en,9.592265,"[33, 1606, 3929]",['US'],1996-02-16,41205099.0,92.0,['en'],Happy Gilmore,6.5,767.0,1996
24000000,"[18, 10749]",en,5.951077,"[56, 171, 6194]",['US'],1995-05-28,182016617.0,135.0,['en'],The Bridges of Madison County,7.3,397.0,1995
72000000,"[28, 18, 36, 10752]",en,20.755149,"[4564, 7965, 11353]",['US'],1995-05-24,210000000.0,177.0,"['en', 'fr', 'la', 'gd']",Braveheart,7.7,3404.0,1995
7500000,"[80, 28, 35, 53]",cn,12.314278,"[12, 2521]",['HK'],1995-01-30,32392047.0,91.0,"['cn', 'en']",Rumble in the Bronx,6.5,245.0,1995
25000000,"[35, 18]",en,1.522412,[11308],['US'],1995-09-29,6278139.0,113.0,['en'],Steal Big Steal Little,5.1,7.0,1995
40000000,"[35, 10749]",en,6.506983,[4],['US'],1992-06-30,70100000.0,117.0,"['fr', 'en']",Boomerang,5.4,139.0,1992
7000000,"[35, 10749]",en,5.579088,[14],['US'],1996-03-22,14702438.0,92.0,['en'],Flirting with Disaster,6.3,66.0,1996
50000000,"[28, 53, 9648, 10749]",en,11.418917,[4],['US'],1995-10-13,9851610.0,95.0,['en'],Jade,5.1,45.0,1995
31000000,[35],en,6.49968,[60],['US'],1996-03-08,185260553.0,117.0,"['en', 'fr']",The Birdcage,6.7,303.0,1996
19000000,"[28, 35, 80, 53]",en,9.262184,"[5, 10288]",['US'],1995-04-07,141407024.0,118.0,['en'],Bad Boys,6.5,1729.0,1995
4000000,"[10749, 18, 35]",en,0.922958,"[8, 5996, 12745, 16027]",['GB'],1995-07-21,851545.0,113.0,['en'],An Awfully Big Adventure,6.0,11.0,1995
52000000,[18],en,18.761467,"[23, 33]",['US'],1995-06-30,355237933.0,140.0,['en'],Apollo 13,7.3,1637.0,1995
28000000,[12],en,10.193549,"[60, 8989]","['GB', 'US']",1995-04-13,31596911.0,139.0,['en'],Rob Roy,6.5,151.0,1995
100000000,"[28, 80, 14]",en,13.321354,"[6194, 31080]","['GB', 'US']",1995-06-16,336529144.0,121.0,['en'],Batman Forever,5.2,1529.0,1995
2000000,[35],en,11.528147,"[14, 30334]",['US'],1995-09-15,1275000.0,83.0,['en'],Blue in the Face,6.8,28.0,1995
11000000,"[28, 35]",en,5.391556,[1382],"['CA', 'US']",1995-06-08,178104.0,91.0,['en'],Canadian Bacon,5.9,57.0,1995
50000000,"[14, 35, 10751]",en,12.812539,"[33, 56, 11098]",['US'],1995-05-26,287928194.0,100.0,['en'],Casper,6.0,1045.0,1995
25000000,"[9648, 80, 18]",en,4.558992,"[33, 4319]",['US'],1995-09-15,13071518.0,128.0,['en'],Clockers,6.8,69.0,1995
50000000,"[28, 12, 18, 9648, 878, 53]",en,7.260574,"[4, 7383]",['US'],1995-06-09,152022101.0,109.0,"['en', 'fr']",Congo,5.0,214.0,1995
53000000,"[28, 53, 18]",en,8.657365,"[915, 10288]",['US'],1995-05-12,157387195.0,116.0,['en'],Crimson Tide,7.0,508.0,1995
7000000,"[53, 28, 80]",en,6.950458,"[5, 11705]",['US'],1995-08-25,25405445.0,104.0,['en'],Desperado,6.8,898.0,1995
27000000,"[18, 9648, 53]",en,4.646132,"[559, 2510]",['US'],1995-09-15,16140822.0,102.0,['en'],Devil in a Blue Dress,6.3,88.0,1995
90000000,"[28, 53]",en,15.138855,"[306, 1504]",['US'],1995-05-19,366101666.0,128.0,"['en', 'de', 'ro']",Die Hard: With a Vengeance,6.9,2094.0,1995
55000000,"[28, 12, 18, 10749]",en,15.178338,"[441, 10158]",['US'],1995-07-07,127600435.0,134.0,"['en', 'fr']",First Knight,5.9,319.0,1995
20000000,"[28, 80, 53, 18]",en,14.810519,"[60, 87394]",['US'],1995-09-14,7563728.0,107.0,"['en', 'it', 'ja', 'ru']",Hackers,6.2,406.0,1995
25000000,"[12, 28, 18, 878, 53]",en,11.715868,"[559, 2480]","['CA', 'US']",1995-05-26,19075720.0,97.0,"['en', 'ja']",Johnny Mnemonic,5.5,380.0,1995
90000000,[878],en,8.184815,"[915, 1504]",['US'],1995-06-30,113493481.0,96.0,['en'],Judge Dredd,5.4,643.0,1995
1500000,"[18, 80]",en,4.877872,[14],['US'],1995-07-28,7412216.0,91.0,['en'],Kids,6.8,280.0,1995
500000,"[18, 35]",en,10.058329,"[13187, 13190]",['US'],1995-01-20,1148752.0,89.0,['en'],Living in Oblivion,7.2,64.0,1995
6000000,"[10749, 35]",en,8.25547,"[33, 37, 11462, 16934]",['US'],1995-10-20,2122561.0,94.0,['en'],Mallrats,6.8,400.0,1995
15000000,"[28, 12, 878, 10751, 14]",en,7.024227,"[306, 2106, 9255]","['JP', 'US']",1995-06-30,66000000.0,92.0,['en'],Mighty Morphin Power Rangers: The Movie,5.2,153.0,1995
2,"[53, 10769]",en,2.466066,"[16561, 38959, 38960]","['DE', 'RU', 'GB', 'US']",1995-09-28,1.0,95.0,"['ru', 'en']",Mute Witness,6.4,36.0,1995
22000000,"[80, 18, 9648, 53, 28]",en,13.304342,[5],['US'],1995-07-28,110627965.0,114.0,"['en', 'es']",The Net,5.6,359.0,1995
150000,[35],en,1.165039,[37890],['US'],1995-06-09,472370.0,94.0,['en'],Party Girl,5.8,14.0,1995
8,"[14, 27, 53]",en,10.187623,[7405],['US'],1995-09-01,16.0,98.0,['en'],The Prophecy,6.4,139.0,1995
50000000,"[18, 36, 10749]",en,6.752119,"[915, 1504]",['US'],1995-10-13,10382407.0,135.0,['en'],The Scarlet Letter,5.5,111.0,1995
45000000,[18],en,17.502375,"[60, 183, 14723]","['FR', 'US']",1995-09-22,20350754.0,128.0,['en'],Showgirls,4.9,261.0,1995
7000000,"[35, 18]",en,5.552946,[14],"['DE', 'JP', 'US']",1995-06-09,8349430.0,112.0,['en'],Smoke,7.2,115.0,1995
35000000,"[878, 27, 28]",en,13.492845,[8411],['US'],1995-07-07,113374103.0,108.0,['en'],Species,5.5,457.0,1995
42000000,"[80, 18, 878, 53]",en,11.223055,[574],['US'],1995-10-13,7959291.0,145.0,['en'],Strange Days,6.8,334.0,1995
14000000,[53],en,1.820419,"[915, 1382, 10201]",['US'],1995-09-08,5780000.0,99.0,['en'],The Tie That Binds,4.6,9.0,1995
60000000,"[28, 53]",en,7.490247,"[508, 6194, 17825, 21480, 63906]",['US'],1995-07-13,104324083.0,100.0,['en'],Under Siege 2: Dark Territory,5.6,217.0,1995
20000000,"[18, 10749]",en,9.715639,"[306, 2851]",['US'],1995-08-11,50012507.0,103.0,['en'],A Walk in the Clouds,6.5,168.0,1995
175000000,"[12, 28]",en,16.885184,"[33, 1073, 1302, 6092]",['US'],1995-07-28,264218220.0,135.0,"['en', 'de', 'es']",Waterworld,5.9,1017.0,1995
2800000,[18],ru,2.486073,"[5358, 6453, 6454]","['FR', 'RU']",1994-05-01,2616503.0,135.0,['ru'],Burnt by the Sun,6.7,35.0,1994
2500000,"[18, 10749]",en,11.304979,"[98, 6194]","['AT', 'CH', 'US']",1995-01-27,5535405.0,105.0,"['en', 'de', 'fr']",Before Sunrise,7.7,984.0,1995
10000000,[35],en,6.638116,[6365],['US'],1995-02-10,26488734.0,89.0,"['fr', 'es', 'en']",Billy Madison,6.2,464.0,1995
21000000,"[35, 18]",en,3.030309,"[508, 644, 5358, 10104, 16192]","['FR', 'US']",1995-02-03,23450000.0,115.0,['en'],Boys on the Side,6.3,48.0,1995
27000,[35],en,10.513367,"[14, 16934]",['US'],1994-09-13,3151130.0,92.0,['en'],Clerks,7.4,769.0,1994
25000000,"[10749, 18, 35]",en,7.438934,"[12, 70]",['US'],1994-10-01,22200000.0,97.0,['en'],Don Juan DeMarco,6.3,184.0,1994
55000000,"[18, 53, 80, 9648, 10749]",en,11.812244,"[6194, 11407]",['US'],1994-12-09,214015089.0,123.0,['en'],Disclosure,5.9,217.0,1994
16000000,[35],en,9.844558,"[12, 11061]",['US'],1994-12-16,247275374.0,107.0,['en'],Dumb and Dumber,6.5,1894.0,1994
18000000,"[35, 18, 36]",en,11.720358,[9195],['US'],1994-09-27,5887457.0,127.0,['en'],Ed Wood,7.3,639.0,1994
15000000,"[18, 53]",en,8.182165,[559],['US'],1995-03-03,12201255.0,103.0,['en'],Hideaway,5.0,24.0,1995
700000,[99],en,9.47666,"[8, 13042]",['US'],1994-09-12,7830611.0,171.0,['en'],Hoop Dreams,7.7,91.0,1994
5000000,"[18, 14]",en,9.438042,"[11, 14, 294, 2306]",['NZ'],1994-09-02,3049135.0,99.0,['en'],Heavenly Creatures,6.9,299.0,1994
