,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,title,vote_average,vote_count,year,profit
1221,14000000,[37],en,10.942149,"[171, 6194]",['US'],1992-08-07,159157447.0,131.0,['en'],Unforgiven,7.7,1133.0,1992,145157447.0
1291,40000000,"[10749, 27]",en,16.777675,"[70, 441, 2019]",['US'],1992-11-13,215862692.0,128.0,"['la', 'ro', 'bg', 'el', 'en']",Dracula,7.1,1087.0,1992,175862692.0
1328,80000000,"[28, 14]",en,15.001681,"[1382, 6194]","['GB', 'US']",1992-06-19,280000000.0,126.0,['en'],Batman Returns,6.6,1706.0,1992,200000000.0
3129,31000000,"[10402, 35]",en,18.83065,[9195],['US'],1992-05-28,231605150.0,100.0,['en'],Sister Act,6.5,713.0,1992,200605150.0
2156,40000000,[18],en,12.330249,[903],['US'],1992-12-11,243240178.0,138.0,['en'],A Few Good Men,7.1,899.0,1992,203240178.0
1893,35000000,"[12, 28, 35, 53, 80]",en,10.786007,"[1885, 6194]",['US'],1992-05-15,321731527.0,118.0,['en'],Lethal Weapon 3,6.4,824.0,1992,286731527.0
1060,49000000,"[53, 9648]",en,16.628427,"[559, 5358, 14723]","['FR', 'US']",1992-03-20,352927224.0,127.0,['en'],Basic Instinct,6.5,869.0,1992,303927224.0
2837,18000000,"[35, 10751, 12, 80]",en,13.293722,"[306, 477]",['US'],1992-11-19,358991681.0,120.0,"['en', 'fr']",Home Alone 2: Lost in New York,6.3,2459.0,1992,340991681.0
3139,25000000,"[53, 28, 18, 10402, 10749]",en,9.805017,"[335, 6194, 13040]",['US'],1992-11-25,411006740.0,129.0,['en'],The Bodyguard,6.2,681.0,1992,386006740.0
581,28000000,"[16, 10751, 35, 12, 14, 10749]",en,16.357419,[2],['US'],1992-11-25,504050219.0,90.0,['en'],Aladdin,7.4,3495.0,1992,476050219.0
